Photo ID,Player,Set,Tags,Raw URL,Processed URL
54083269992,Bob Feller,1955 Bowman,(BAS/HOF/BLUEINK),https://www.flickr.com/photos/90414144@N05/54083269992,"[URL=""https://www.flickr.com/photos/tkraft24/54083269992""] photo[/URL]"
53835369666,Minnie Minoso,1958 Topps,(HOF/BAS/BLUEINK),https://www.flickr.com/photos/90414144@N05/53835369666,"[URL=""https://www.flickr.com/photos/tkraft24/53835369666""] photo[/URL]"
53835513785,Minnie Minoso,1958 Topps,(HOF/BAS/BLUEINK/INSCRIPTION),https://www.flickr.com/photos/90414144@N05/53835513785,"[URL=""https://www.flickr.com/photos/tkraft24/53835513785""] photo[/URL]"
53834174772,Rocky Colavito,1960 Topps,(BAS/BLUEINK),https://www.flickr.com/photos/90414144@N05/53834174772,"[URL=""https://www.flickr.com/photos/tkraft24/53834174772""] photo[/URL]"
53835378983,Dave Nelson,1969 Topps,(PSA/BLUEINK),https://www.flickr.com/photos/90414144@N05/53835378983,"[URL=""https://www.flickr.com/photos/tkraft24/53835378983""] photo[/URL]"
54080595688,Frank Robinson,1975 SSPC,(HOF/PSA/BLUEINK),https://www.flickr.com/photos/90414144@N05/54080595688,"[URL=""https://www.flickr.com/photos/tkraft24/54080595688""] photo[/URL]"
53834174407,Rocky Colavito,1979 TCMA,(BAS/BLUEINK),https://www.flickr.com/photos/90414144@N05/53834174407,"[URL=""https://www.flickr.com/photos/tkraft24/53834174407""] photo[/URL]"
53834228122,Lou Boudreau,1980 Baseball Immortals,(HOF/PSA/BLUEINK),https://www.flickr.com/photos/90414144@N05/53834228122,"[URL=""https://www.flickr.com/photos/tkraft24/53834228122""] photo[/URL]"
53835578213,Early Wynn,1980 Laughlin 300/400/500,(HOF/BAS/BLUEINK),https://www.flickr.com/photos/90414144@N05/53835578213,"[URL=""https://www.flickr.com/photos/tkraft24/53835578213""] photo[/URL]"
53835576850,Terry Francona,1980 TCMA,(MILB/BAS/BLACKINK),https://www.flickr.com/photos/90414144@N05/53835576850,"[URL=""https://www.flickr.com/photos/tkraft24/53835576850""] photo[/URL]"
